"symbol","股票简称","上市时间","流通股","总股本"
"600000","浦发银行","19991110","30267679579.0","30267679579.0"
"600004","白云机场","20030428","2366718283.0","2366718283.0"
"600006","东风股份","19990727","2000000000.0","2000000000.0"
"600007","中国国贸","19990312","1007282534.0","1007282534.0"
"600008","首创环保","20000427","7340590677.0","7340590677.0"
"600009","XD上海机","19980218","1918695948.0","2488481340.0"
"600010","包钢股份","20010309","31380798287.0","45288619348.0"
"600011","华能国际","20011206","10997709919.0","15698093359.0"
"600012","皖通高速","20030107","1165600000.0","1708591889.0"
"600015","华夏银行","20030912","15387223983.0","15914928468.0"
"600016","民生银行","20001219","35462123213.0","43782418502.0"
"600017","日照港","20061017","3075653888.0","3075653888.0"
"600018","上港集团","20061026","23214577754.0","23281365262.0"
"600019","宝钢股份","20001212","21782084749.0","21782084749.0"
"600020","中原高速","20030808","2247371832.0","2247371832.0"
"600021","上海电力","20031029","2816743645.0","2816743645.0"
"600022","山东钢铁","20040629","10698849554.0","10698849554.0"
"600023","浙能电力","20131219","13408732749.0","13408732749.0"
"600025","华能水电","20171215","18000000000.0","18000000000.0"
"600026","中远海能","20020523","3474776395.0","4770776395.0"
"600027","华电国际","20050203","8510327533.0","10906424390.0"
"600028","中国石化","20010808","94841824851.0","121245237698.0"
"600029","南方航空","20030725","12673348925.0","18120917661.0"
"600030","中信证券","20030106","12176550974.0","14820546829.0"
"600031","三一重工","20030703","8474390037.0","8474390037.0"
"600032","浙江新能","20210525","2404675324.0","2404675324.0"
"600033","福建高速","20010209","2744400000.0","2744400000.0"
"600035","楚天高速","20040310","1610115901.0","1610115901.0"
"600036","招商银行","20020409","20628944429.0","25219845601.0"
"600037","歌华有线","20010208","1391777884.0","1391777884.0"
"600038","中直股份","20001218","668935221.0","819893213.0"
"600039","四川路桥","20030325","6715566605.0","8710039485.0"
"600048","保利发展","20060731","11970443418.0","11970443418.0"
"600050","中国联通","20021009","30766826127.0","31264425327.0"
"600051","宁波联合","19970410","310880000.0","310880000.0"
"600052","东望时代","19970415","844194741.0","844194741.0"
"600053","九鼎投资","19970418","433540800.0","433540800.0"
"600054","黄山旅游","19970506","513300000.0","729379440.0"
"600055","万东医疗","19970519","703061058.0","703061058.0"
"600056","中国医药","19970515","1495351478.0","1495879748.0"
"600057","厦门象屿","19970604","2192510201.0","2806369661.0"
"600058","五矿发展","19970528","1071910711.0","1071910711.0"
"600059","古越龙山","19970516","911542413.0","911542413.0"
"600060","XD海信视","19970422","1295094388.0","1304972254.0"
"600061","国投资本","19970519","6393981723.0","6393981723.0"
"600062","华润双鹤","19970522","1032630823.0","1038757509.0"
"600063","皖维高新","19970528","1925894692.0","2104618229.0"
"600064","南京高科","19970506","1730339644.0","1730339644.0"
"600066","宇通客车","19970508","2213939223.0","2213939223.0"
"600067","冠城新材","19970508","1391668739.0","1391668739.0"
"600071","凤凰光学","19970528","281573889.0","281573889.0"
"600072","中船科技","19970603","1083337316.0","1506521728.0"
"600073","光明肉业","19970704","937729472.0","937729472.0"
"600075","新疆天业","19970617","1707362663.0","1707362663.0"
"600076","康欣新材","19970526","1344543367.0","1344543367.0"
"600078","澄星股份","19970627","662572861.0","662572861.0"
"600079","人福医药","19970606","1543178770.0","1632225965.0"
"600080","金花股份","19970612","373270285.0","373270285.0"
"600081","东风科技","19970703","553026170.0","553026170.0"
"600082","海泰发展","19970620","634335412.0","646115826.0"
"600084","中信尼雅","19970711","1123726830.0","1123726830.0"
"600085","同仁堂","19970625","1371470262.0","1371470262.0"
"600088","中视传媒","19970616","397706400.0","397706400.0"
"600089","特变电工","19970618","5052792571.0","5052792571.0"
"600094","大名城","19970703","2166131950.0","2364852045.0"
"600095","湘财股份","19970708","2859187743.0","2859187743.0"
"600096","云天化","19970709","1822990731.0","1822990731.0"
"600097","开创国际","19970619","240936559.0","240936559.0"
"600098","广州发展","19970718","3498749964.0","3506306868.0"
"600099","林海股份","19970704","219120000.0","219120000.0"
"600100","同方股份","19970627","3350297713.0","3350297713.0"
"600101","明星电力","19970627","547862471.0","547862471.0"
"600103","青山纸业","19970703","2212329047.0","2253255047.0"
"600104","上汽集团","19971125","11575299445.0","11575299445.0"
"600105","永鼎股份","19970929","1461994802.0","1461994802.0"
"600106","重庆路桥","19970618","1329025062.0","1329025062.0"
"600107","ST尔雅","19971106","360000000.0","360000000.0"
"600108","亚盛集团","19970818","1946915121.0","1946915121.0"
"600109","国金证券","19970807","3712559510.0","3712559510.0"
