序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300717,华信新材,26.02,20.02,4.34,197485.0,466912416.28,25.69,26.02,20.45,21.4,21.68,5.5,19.39,42.08,3.82,2674205500.0,2650225468.0,0.0,0.0,61.61,89.51
2,301232,飞沃科技,42.1,20.01,7.02,104002.0,419703886.68,17.36,42.1,36.01,36.04,35.08,6.23,23.28,50.17,2.26,3164334809.0,1880491857.0,0.0,0.0,48.45,70.45
3,300780,德恩精工,21.26,19.98,3.54,267613.0,529662173.44,20.82,21.26,17.57,17.99,17.72,3.8,25.52,-55.59,2.99,3118204200.0,2229609526.0,0.0,0.0,39.5,48.05
4,301112,信邦智能,49.85,16.74,7.15,64934.0,296916391.92,20.12,50.39,41.8,42.63,42.7,3.09,5.89,115.95,4.5,5496790010.0,5496790010.0,1.69,2.15,58.66,114.22
5,300455,航天智装,20.65,15.69,2.8,1058946.0,2164389201.49,19.16,21.42,18.0,18.03,17.85,3.61,14.94,701.4,8.02,14821907878.0,14633053303.0,-0.67,-0.1,64.54,59.46
6,301399,英特科技,24.4,15.53,3.28,138503.0,310537163.42,16.0,24.4,21.02,21.03,21.12,2.77,25.33,155.27,3.48,4514488000.0,1334279498.0,6.18,5.17,48.24,29.93
7,300289,利德曼,11.27,15.35,1.5,1490637.0,1581498830.32,19.04,11.67,9.81,10.47,9.77,2.3,27.44,-1224.51,3.69,6131009458.0,6121373608.0,-0.09,-0.09,134.79,130.0
8,300732,设研院,12.39,14.72,1.59,665169.0,775801624.72,21.94,12.88,10.51,10.63,10.8,2.06,20.54,-96.72,1.58,4018267410.0,4013181525.0,-0.08,0.73,84.93,85.48
9,300218,安利股份,24.0,14.5,3.04,334366.0,746525486.5,16.08,24.24,20.87,21.4,20.96,1.76,15.46,28.05,3.66,5207688000.0,5190633456.0,1.14,-0.25,59.26,58.42
10,301326,捷邦科技,97.94,12.96,11.24,35950.0,324491106.46,14.33,98.0,85.58,86.03,86.7,1.81,13.29,-157.78,5.61,7096686172.0,2649920270.0,3.05,3.41,67.22,33.98
11,301161,唯万密封,41.47,12.14,4.49,157253.0,622510285.28,21.55,43.47,35.5,35.7,36.98,1.63,29.49,50.22,5.11,4976400000.0,2211512160.0,0.27,-0.43,90.84,94.79
12,300546,雄帝科技,29.49,11.75,3.1,337406.0,968923466.85,17.54,30.81,26.18,26.45,26.39,5.95,25.15,-131.34,5.07,5503798058.0,3956178900.0,0.2,0.14,75.01,75.74
13,301038,深水规院,32.32,10.87,3.17,235147.0,723795937.07,14.13,32.94,28.82,28.88,29.15,1.88,10.54,-61.18,8.5,7209945600.0,7209945600.0,0.34,0.19,127.93,124.29
14,300841,康华生物,86.47,10.66,8.33,70185.0,584755233.63,13.17,87.89,77.6,78.13,78.14,2.13,5.9,135.65,3.37,11236508357.0,10283814409.0,0.14,0.31,65.02,61.51
15,300069,金利华电,30.19,10.26,2.81,161038.0,473382121.14,13.04,30.66,27.09,27.4,27.38,1.54,13.76,-1126.5,12.88,3532230000.0,3532230000.0,-1.53,0.53,86.36,129.23
16,300772,运达股份,14.16,9.85,1.27,498081.0,695054653.9,13.19,14.58,12.88,12.89,12.89,5.67,7.14,47.38,1.74,11141763503.0,9881158090.0,0.21,-0.21,30.99,7.44
17,300388,节能国祯,7.93,9.23,0.67,306959.0,238388753.96,15.15,8.31,7.21,7.26,7.26,15.27,4.51,19.9,1.21,5400664892.0,5393302022.0,-0.13,-0.13,18.89,6.87
18,300304,云意电气,11.26,8.79,0.91,403177.0,437403376.2,9.95,11.28,10.25,10.31,10.35,3.54,4.71,25.42,3.25,9887898265.0,9633868904.0,0.54,0.81,51.75,41.81
19,301128,强瑞技术,68.55,8.6,5.43,123166.0,843576278.48,14.1,71.88,62.98,62.98,63.12,3.29,11.91,148.21,8.45,7090899059.0,7090899059.0,-0.16,0.29,38.26,70.14
20,301293,三博脑科,59.28,8.59,4.69,388279.0,2341475371.94,15.44,65.51,57.08,58.0,54.59,5.77,24.12,79.68,5.29,12210908589.0,9540860622.0,0.3,-0.2,35.96,37.44
21,300003,乐普医疗,17.52,8.48,1.37,891878.0,1524817690.51,10.9,17.98,16.22,16.45,16.15,3.44,5.52,21.76,2.17,32948309118.0,28314047279.0,0.81,0.52,57.27,56.29
22,300066,三川智慧,7.07,8.44,0.55,2075276.0,1444491828.39,18.1,7.57,6.39,6.39,6.52,5.21,20.63,112.7,2.96,7353035162.0,7111786160.0,0.0,0.14,69.54,80.82
23,300906,日月明,38.48,8.09,2.88,80261.0,307265989.05,18.29,41.5,34.99,35.36,35.6,2.74,11.22,56.66,3.51,3078400000.0,2752450350.0,0.58,0.55,56.93,51.02
24,300703,创源股份,30.87,7.75,2.22,266401.0,791940291.33,11.45,31.3,28.02,28.56,28.65,2.56,15.7,67.9,6.32,5568696101.0,5237453067.0,-0.52,-0.03,95.01,118.63
25,301363,美好医疗,20.1,7.54,1.41,206007.0,408940934.26,13.54,21.28,18.75,18.85,18.69,7.62,13.18,55.11,3.28,11434310718.0,3140693501.0,0.05,0.15,15.58,-12.99
26,301126,达嘉维康,14.2,7.49,0.99,249636.0,339280713.91,14.31,14.59,12.7,13.28,13.21,1.62,18.1,231.9,1.67,2916725440.0,1957942420.0,0.5,1.0,34.6,37.07
27,301345,涛涛车业,169.97,6.98,11.09,25887.0,428683896.25,9.69,172.8,157.41,159.61,158.88,1.74,9.03,53.54,6.05,18464137018.0,4875375458.0,0.09,0.06,164.67,165.12
28,300247,融捷健康,4.8,6.67,0.3,480834.0,223269456.0,7.56,4.83,4.49,4.49,4.5,2.19,5.99,31.14,3.52,3859393502.0,3855721502.0,0.21,1.27,26.65,34.08
29,300516,久之洋,44.11,6.67,2.76,82699.0,364676194.51,11.56,45.88,41.1,41.34,41.35,3.36,4.59,-336.01,6.25,7939800000.0,7939800000.0,0.52,0.57,36.02,30.66
30,301488,豪恩汽电,74.85,6.59,4.63,57863.0,441205185.31,8.7,80.06,73.95,74.47,70.22,7.49,24.72,93.47,5.36,6886200000.0,1752332063.0,0.34,0.56,22.7,36.61
31,301024,霍普股份,48.31,6.41,2.91,42810.0,205501478.96,9.56,49.77,45.43,45.43,45.4,5.49,7.11,-87.02,7.27,3071791350.0,2908745100.0,-0.29,0.0,42.68,102.98
32,301033,迈普医学,79.5,6.27,4.69,12380.0,95664495.32,6.24,79.55,74.88,74.9,74.81,2.3,2.21,54.79,7.69,5295648356.0,4457360606.0,0.59,0.75,23.07,91.8
33,300274,阳光电源,79.49,6.26,4.68,587907.0,4631742834.47,8.35,80.75,74.5,74.52,74.81,2.81,3.7,10.77,4.27,164799576094.0,126366004101.0,0.14,0.16,25.52,9.25
34,301367,瑞迈特,92.01,6.15,5.33,22967.0,205266383.3,8.31,92.98,85.78,86.7,86.68,3.97,4.06,28.65,2.88,8244096000.0,5200845560.0,-0.95,-0.97,12.43,46.98
35,300225,*ST金泰,4.54,6.07,0.26,566309.0,260447080.82,11.45,4.82,4.33,4.34,4.28,6.48,11.94,95.79,2.51,2158450339.0,2152446189.0,-0.87,-1.09,7.58,-29.72
36,300943,春晖智控,19.19,6.02,1.09,340351.0,658869033.69,15.64,20.88,18.05,18.25,18.1,3.0,25.33,77.3,4.07,3911305800.0,2577990108.0,0.05,0.42,43.32,50.27
