"排名","板块名称","板块代码","最新价","涨跌额","涨跌幅","总市值","换手率","上涨家数","下跌家数","领涨股票","领涨股票-涨跌幅"
"1","水泥建材","BK0424","29826.46","821.55","2.83","385665952000","3.35","26","2","青松建化","9.98"
"2","交运设备","BK0429","11575.25","316.28","2.81","740390160000","2.02","40","11","祥和实业","10.03"
"3","风电设备","BK1032","1303.01","34.72","2.74","354637088000","4.3","25","6","飞沃科技","20.01"
"4","工程机械","BK0739","2196.47","45.9","2.13","774484448000","3.37","23","7","山河智能","10.03"
"5","燃气","BK1028","1722.71","34.71","2.06","294694832000","1.53","29","2","洪通燃气","10.03"
"6","能源金属","BK1015","550.44","10.44","1.93","387163296000","3.18","13","0","中矿资源","5.88"
"7","工程建设","BK0425","25784.65","430.3","1.7","1496167376000","1.53","54","13","上海港湾","10.02"
"8","钢铁行业","BK0479","8577.54","137.36","1.63","997056192000","1.89","42","4","八一钢铁","10.13"
"9","电力行业","BK0428","17415.77","217.13","1.26","3359321728000","1.06","69","6","华银电力","9.96"
"10","旅游酒店","BK0485","16051.04","189.31","1.19","367979024000","3.22","32","5","西域旅游","19.99"
"11","电源设备","BK1034","2432.16","23.57","0.98","478536352000","3.28","19","12","华光环能","10.02"
"12","医疗器械","BK1041","1023.86","9.47","0.93","1442888832000","4.31","64","57","尚荣医疗","9.95"
"13","工程咨询服务","BK0726","886.64","7.35","0.84","211558102000","4.91","31","12","设研院","12.78"
"14","有色金属","BK0478","20157.55","158.28","0.79","1799492672000","1.94","54","20","斯瑞新材","8.31"
"15","综合行业","BK0539","11857.06","85.78","0.73","209899471000","2.02","11","8","山高环能","7.02"
"16","农牧饲渔","BK0433","15455.24","110.35","0.72","1092899056000","2.19","55","30","正虹科技","10.05"
"17","石油行业","BK0464","5980.18","40.44","0.68","3712549056000","0.24","15","5","博汇股份","6.89"
"18","电网设备","BK0457","30431.41","201.13","0.67","1337437232000","2.76","88","46","中超控股","9.96"
"19","装修建材","BK0476","14452.19","94.64","0.66","440867808000","1.84","44","18","菲林格尔","8.53"
"20","采掘行业","BK1017","1401.42","9.05","0.65","320232000000","1.18","12","7","科力股份","5.12"
"21","光伏设备","BK1031","1137.81","6.75","0.6","1323855632000","2.1","46","28","阳光电源","9.08"
"22","医药商业","BK1042","1155.85","6.36","0.55","344064032000","1.48","21","7","达嘉维康","7.72"
"23","农药兽药","BK0730","1299.73","7.05","0.55","337050032000","2.32","25","21","申联生物","9.71"
"24","公用事业","BK0427","8625.55","44.86","0.52","190446060000","0.75","19","2","中山公用","1.66"
"25","通用设备","BK0545","43794.38","206.24","0.47","1514432512000","4.6","110","104","宁波东力","10.05"
"26","装修装饰","BK0725","615.72","2.86","0.47","139610408000","1.64","23","13","名雕股份","5.15"
"27","化学制药","BK0465","40025.89","181.26","0.45","2245245280000","3.34","81","55","福元医药","9.99"
"28","中药","BK1040","1535.25","6.11","0.4","927237840000","2.3","38","26","太龙药业","7.48"
"29","环保行业","BK0728","498.38","1.89","0.38","696106080000","2.26","79","38","节能国祯","8.4"
"30","房地产开发","BK0451","13330.82","48.7","0.37","1068956160000","1.18","38","38","华丽家族","10.11"
"31","化肥行业","BK0731","1505.26","4.98","0.33","449930688000","1.22","15","9","史丹利","4.62"
"32","纺织服装","BK0436","13061.27","42.56","0.33","547536784000","2.93","48","45","兴业科技","9.99"
"33","商业百货","BK0482","17959.03","51.26","0.29","580058784000","1.33","33","23","武商集团","9.98"
"34","化纤行业","BK0471","16110.36","42.16","0.26","490150576000","1.04","19","10","海正生材","3.97"
"35","贵金属","BK0732","1546.47","3.77","0.24","423555728000","2.82","8","3","西部黄金","1.64"
"36","房地产服务","BK1045","1213.87","2.9","0.24","93359370000","2.26","9","7","全新好","5.62"
"37","航空机场","BK0420","4885.77","10.35","0.21","748980960000","0.58","10","3","华夏航空","1.17"
"38","航运港口","BK0450","10975.64","22.05","0.2","1056297328000","0.57","20","11","海峡股份","2.07"
"39","玻璃玻纤","BK0546","41804.16","76.78","0.18","380263728000","1.71","11","10","戈碧迦","9.44"
"40","造纸印刷","BK0470","10255.06","18.11","0.18","255131768000","2.56","22","15","东港股份","2.99"
"41","化学原料","BK1019","949.66","1.2","0.13","915633792000","1.41","48","31","新疆天业","7.48"
"42","专用设备","BK0910","3227.65","3.73","0.12","1898571712000","3.82","119","139","英维克","10.01"
"43","专业服务","BK1043","1492.3","1.64","0.11","248162150000","3.09","20","18","科锐国际","4.79"
"44","物流行业","BK0422","7737.89","7.94","0.1","981855408000","1.21","25","25","天顺股份","10.02"
"45","橡胶制品","BK1018","1653.66","1.35","0.08","319824080000","1.69","18","15","科创新源","4.62"
"46","化学制品","BK0538","28963.17","22.05","0.08","1432881744000","2.98","73","88","雪峰科技","6.9"
"47","生物制品","BK1044","1151.25","0.67","0.06","1577844704000","2.16","31","42","南模生物","19.99"
